ref,citation_0,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,citation_7,citation_8,citation_9,citation_10,citation_11,citation_12,citation_13,citation_14,citation_15,citation_16,citation_17,citation_18,citation_19
reference_43,3.4116824699831922,3.3538199705362675,3.7051231486825027,3.728228986623276,3.5531394434153887,3.2549926838025143,3.6266991829684914,3.418614118239909,3.6545911957903447,inf,3.615067799833788,3.5401212106216455,3.5067201041830653,3.5059051398653853,3.636110214907576,3.615750822180987,3.6319127200793084,3.593161659788354,3.521795361877971,3.323174404059467
reference_44,3.5098461100869627,3.9519134042959845,3.8481906734912483,3.762108023959987,3.4398877091235716,3.1692152458279885,3.721860877616714,3.571696228002659,3.885797576822599,inf,3.6348033279362397,3.603084176508807,3.728103382080149,3.2796908786753565,3.7158896970949415,3.863735214666854,3.6547095560230263,3.5899385458453072,3.5915601794898833,3.3811935552433208
reference_45,3.403601501098538,3.7633197129833222,3.691077843537855,3.1678812812240604,3.528183470552195,3.2172195066394536,3.596345929995633,3.4007573968565725,3.6817930925284386,inf,3.230882572329179,3.446756746029425,3.5376325470437218,3.405724111593907,3.564611051040705,3.701109582172394,3.495064694162097,3.117112665726571,3.0709857203247073,2.8505750958063123
reference_46,3.3446580228012794,3.7101154964446743,3.6540146171579013,3.459253692337644,3.4342690475995163,3.3649631960311317,3.3768140409831973,3.1772386228903637,3.619239132262241,inf,3.5561933641894705,3.5086344647338525,3.6424308693203016,3.2632348804224667,3.5697641120925256,3.590545159952355,3.4241905018729923,3.4076249032951367,3.378918903692849,3.4057815539216603
reference_47,3.30986988108778,3.7034173341250423,3.5423981392083466,2.897732971392929,3.374314258560866,2.7789808462854992,3.5165215152464624,3.2019755617267642,3.539669329339862,inf,2.9717598888739967,3.384826194455981,3.5377822974698576,3.3858421855419127,2.821824975136061,3.6294056844198703,3.001351775397442,3.0658935007761445,3.1625643692691803,3.467521691131354
reference_48,3.3805907165918594,3.7014693573449717,3.6325948617419628,3.465990151394079,3.4281781583658084,3.289834959985161,3.500412208075822,3.283616162823085,3.5933177364809774,inf,3.4564220541391832,3.484331394598635,3.5277667075293473,3.3983572842440632,3.3942231855585043,3.6563021103520086,3.4478220798158565,3.3872395520995218,3.2447996311111686,3.503195899781438
reference_49,3.166535498786481,3.5408146527822297,3.422381926908361,2.6036881268008307,3.2551070639975617,2.700070990426671,3.457783828155234,2.9681898399825455,3.4245955697792922,inf,2.6534540608250814,3.2009165342700134,3.458862835719976,3.253039179711008,2.8599481724721105,3.544723933208086,2.4610536968479546,2.9602343575372454,2.713712725225028,2.6921126281308716
reference_50,3.4241555529214565,3.703517171230282,3.6849286769865652,3.504039547778947,3.162359561838936,2.7791088792557543,3.607032630475836,3.133857348487552,3.4842139407881376,inf,3.518070884752256,3.4476785581493385,3.5524111979940396,2.7392111902831644,3.5157919378967093,3.612695644431262,3.2695724054049298,3.3930123117854136,3.3021250800536452,3.094414404596218
reference_51,3.195880169743657,3.5549327485247852,3.599601963406205,3.4357757818090917,3.214510174499899,2.8135740145823505,3.4663601502767563,3.2740789857165695,3.4577225530836584,inf,3.4705796635399557,3.3918151855468746,3.556067335856606,2.511596937938472,3.3883037237065103,3.625599848404408,3.478554383365559,3.4934484763006326,3.3460311443376067,3.083026931312943
reference_52,3.3555188097213304,3.7324090226930813,3.7767404104502065,3.6607442070530025,3.3070283816862975,3.4796342239980147,2.900701265780112,3.101435405561915,3.694826288718953,inf,3.626726962726461,3.3317922301981,3.572349322633943,3.2248506837441457,3.591690449991613,3.5444160281143087,3.559480611675502,3.5935262210532906,3.4347519484021447,3.6189048575941425
reference_53,3.188908843867004,3.0762272942841054,3.5142069791742863,3.3828795064855455,3.396256403052092,2.759611485959622,3.434077478943253,3.2121968464340114,3.4720468320772646,inf,3.0586260266677225,3.3668953468072416,3.5093408182407213,3.2948207393900955,2.936342861969149,3.621252200286746,2.979979555031444,3.3326969090013567,3.2839713362950085,3.014482265642453
reference_54,3.295069523297119,3.5450346785476685,3.5995376187632564,3.435958703029633,3.3901599207617408,3.2370829115968776,3.5019193077266224,3.2765848480356454,3.563184776911855,inf,3.430498704994486,3.4800230418945315,3.5838697923231937,3.3646611279363223,3.497125378726981,3.6587855660892967,3.426610084050742,3.362132033848753,3.296188388055802,2.962272951159286
reference_55,3.453388266139388,3.767513040960312,3.8064144307737346,3.383331987979984,3.31614796510725,2.9919018716421,3.6308414055786136,3.4610560964587433,3.6990436281561854,inf,3.6773556136442997,3.6564207077026367,3.7546092752771023,2.758279874050797,3.658017104919123,3.7101926761531834,3.6939581014325236,3.634583389168023,3.573295665925598,3.1284472703506476
reference_56,3.045033550167722,3.138746432214866,3.356745998409884,3.1034407303100826,3.314700413018419,2.757090093456366,3.3955405021293283,3.0246673667307693,3.398706715687543,inf,3.254066445894825,3.2071234395177948,3.3472102778046082,3.1744202903880305,3.311859472279525,3.4026429974019528,3.02744404439168,3.2202284988641114,2.6041856220014337,3.058189398606572
reference_57,3.275766296213323,3.6356551531245165,3.5137011793393356,3.445629479142947,3.446515588778661,3.3433926965520233,3.517843406722548,3.169187527080301,3.511398883207727,inf,3.040276757503621,3.41911360156585,3.4458251012036576,3.2934060487839276,3.3264124634297323,3.557204209683414,3.2584972432930153,3.3331607800086416,3.2440790875665155,3.0632011231239935
reference_58,3.191304579946697,3.529956358649254,3.5030467243047236,3.120700010523034,3.2665464284656522,3.140086854612782,3.4400716693818567,3.2091793118542347,3.4311019349057674,inf,3.348848633793203,3.3793102035791875,3.493759472161128,3.2082349740544096,3.3632884530918883,3.636829073004532,3.042446904643383,3.259599273909535,3.230622951132679,3.1399320630848413
