ref,citation_0,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,citation_7,citation_8,citation_9,citation_10,citation_11,citation_12,citation_13,citation_14,citation_15,citation_16,citation_17,citation_18,citation_19,citation_20,citation_21,citation_22,citation_23,citation_24,citation_25,citation_26
reference_128,3.4246582165264368,3.523188603187669,3.2813257891017176,4.039146703431606,2.8924377647638324,3.40398177627486,3.260508607601297,3.1340297016302188,inf,3.5655439509555,3.210254232706952,3.3889627460915794,3.6313270045665744,3.6134380735782625,3.58040039626629,3.6358857937903686,3.674412765726827,3.1170743864047243,3.4116675521163655,2.356968402862549,3.414682012704849,inf,3.4273221744292974,3.66443516404523,3.239026133264685,3.493622675982544,3.355283215675831
reference_129,3.4413694127418157,3.5370245289529336,3.3016929967689705,4.048941400252819,2.9398704749399185,3.4102590500468013,3.27931357887066,3.1509241186996206,inf,3.5818668767286317,3.23546714070455,3.4039802507382952,3.631680299794006,3.615689880636711,3.589279822460101,3.637644881862778,3.688905883592564,3.1465872582907055,3.444453839504331,2.4008052349090576,3.4270153077871797,inf,3.4577636939131025,3.6617818235646165,3.2579945824330085,3.508601804362347,3.3480907545962335
reference_130,4.155104037869782,4.241431487854932,4.028552827654995,4.62371927806592,3.820670654438019,4.155133260630369,4.036170044511073,4.0210063597698555,inf,4.274665588908456,3.9871649927981374,4.119286142409487,4.314232059034539,4.329858195373535,4.271622511684066,4.35101094541533,4.36901750156071,3.9511305640312258,4.197355178405941,3.2420170307159424,4.148980059127629,inf,4.195809861652613,4.361794867635501,3.942372994415687,4.239920416224198,4.07203284590292
reference_131,3.44609174741173,3.522402763546197,3.317979416506043,4.032167593330383,2.9017540467877385,3.412436662246704,3.2794200740098898,3.151607689581331,inf,3.554269917248542,3.230356359144891,3.406575841299855,3.6326944285461424,3.618711613142853,3.595863552763169,3.643403690888086,3.6703913911588937,3.1448029065575556,3.4272830303804516,2.4016945362091064,3.4160876381111147,inf,3.4536314887928365,3.667239021696102,3.252812150210607,3.49531420870494,3.357317571258545
reference_132,3.4413694127418157,3.5370245289529336,3.3016929967689705,4.048941400252819,2.9398704749399185,3.4102590500468013,3.27931357887066,3.1509241186996206,inf,3.5818668767286317,3.23546714070455,3.4039802507382952,3.631680299794006,3.615689880636711,3.589279822460101,3.637644881862778,3.688905883592564,3.1465872582907055,3.444453839504331,2.4008052349090576,3.4270153077871797,inf,3.4577636939131025,3.6617818235646165,3.2579945824330085,3.508601804362347,3.3480907545962335
reference_133,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
reference_134,3.449810848650614,3.5284912540914037,3.3245307567047,4.057835344436645,2.9027517336678503,3.4438309356372354,3.282712226873327,3.1950854221167955,inf,3.574311830093527,3.246397935999839,3.409071061416903,3.627355123211861,3.631392399336281,3.609508241416154,3.637938032841006,3.689904990056816,3.156118248028547,3.442498500597001,2.4367520809173584,3.4405741868276594,inf,3.4705806850837466,3.6768009204885095,3.2842494981833665,3.528029673834525,3.3476950910367966
reference_135,3.4441046426738926,3.518775932445355,3.303200841456964,4.001735191380978,2.9357862252254963,3.4009503185324372,3.2780424328658113,3.0910646179661554,inf,3.5353034586535457,3.2244327337890533,3.3865672620959546,3.591864290898323,3.601020348658752,3.5725377300538375,3.6225951476139913,3.651469122497989,3.1293284848223295,3.4313330713065557,2.3855233192443848,3.412154208586812,inf,3.46224350812912,3.653756482427659,3.235088860568357,3.4986163670156927,3.3207302057480814
reference_136,4.155104037869782,4.241431487854932,4.028552827654995,4.62371927806592,3.820670654438019,4.155133260630369,4.036170044511073,4.0210063597698555,inf,4.274665588908456,3.9871649927981374,4.119286142409487,4.314232059034539,4.329858195373535,4.271622511684066,4.35101094541533,4.36901750156071,3.9511305640312258,4.197355178405941,3.2420170307159424,4.148980059127629,inf,4.195809861652613,4.361794867635501,3.942372994415687,4.239920416224198,4.07203284590292
reference_137,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
