ref,citation_0,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,citation_7,citation_8,citation_9,citation_10,citation_11,citation_12
reference_38,4.023739265416738,3.752199194328308,3.989767519891024,4.087283393235657,3.534906696585332,3.5610182224943054,3.615516976379753,3.130166468517604,3.8633762499725894,3.812612464476022,3.648464095486999,3.3131199217578193,3.4109878961826565
reference_39,4.133294456763821,3.8308613390215873,3.728470689660448,4.2025861710898385,3.426304244755561,3.6876767880894588,3.410218697521055,2.899254541514395,3.9425154064113297,3.92667999880141,3.7650973506426215,3.467086829768621,3.5194810327795385
reference_40,4.350608881832806,3.984750596812391,3.6272462302808046,4.285482860000896,3.7226878491441777,3.934393780340189,3.420540040156389,3.2172020546255378,4.210770497762619,4.178183074205004,4.053047429115415,3.777896942153102,3.6412999931832073
reference_41,4.025745499415882,3.75062755406971,4.054930413438607,3.9875285393887454,3.609823983660016,3.116423695845124,3.576395749733735,3.547167486574841,3.739793401700471,3.6607458757761897,3.514510737253189,3.3719624638961414,3.339888586391831
reference_42,4.027820045409952,3.7072424764694785,3.854606867250067,4.056446231483062,3.5956474691403804,3.519127203973072,3.400782680373557,3.3868639986106905,3.8997799953701056,3.8408963426320555,3.706852807363176,3.2984729921319973,3.420275049188247
reference_43,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
reference_44,4.07632770698139,3.8160955982856706,4.085509693082103,4.1053251424916075,3.5512302208780935,3.5646742846149055,3.4711442095323135,3.579912853590474,3.844662522168911,3.859028051209854,3.6755575289710944,3.3901461812043343,3.4368816816990533
reference_45,4.377478601464964,3.9911597411234334,3.8595767243388677,4.421316135148538,3.6939798868601263,3.92514095723577,3.0896921876746277,2.9396483437548095,3.756900865280967,4.2475096765797895,3.553755188325048,3.8696719377696898,3.8442792304494335
reference_46,4.424152486505584,4.116698919914294,4.409331028376436,4.178406509146424,3.9719508134829136,3.9814695599302357,3.4619821869842533,4.052320859544036,4.2244627657218174,4.146486645926943,4.0069684990621806,3.756816546273408,3.675799233934021
reference_47,4.237038576543128,3.946693642578167,3.7752361650301385,4.192625233848006,3.5195326705055847,3.8227783083366424,2.286248747250655,2.8489081233339903,4.099014385183424,4.1048385603537545,3.9506257596431147,3.5689915374472156,3.6349361593607687
reference_48,4.100975796202711,3.8215196245358,3.4953014907505997,4.125764144809458,3.2965741328504805,3.6830935653572903,3.1886573184755798,3.3927161457173054,3.9632006457599673,3.9043369107495796,3.795450976086402,3.4578267549762445,3.504398760198928
reference_49,4.061027489285891,3.7562119632130275,3.8637013394839936,4.114076595918445,3.360458095380935,3.6196816303770554,2.7686016526606188,3.1007409033066557,3.9468808424381345,3.8748384992885474,3.740457312936993,3.3986068478336335,3.4482705790111026
reference_50,4.451448754037989,4.122942141428089,3.886636682044601,4.46561503922741,3.7574619379920056,4.0600351843751765,3.1495661246583944,2.687548554312574,4.43277461531514,4.443519336424976,4.276439801982951,3.983860424649454,3.869401738320064
reference_51,4.059196544144512,3.710779113213648,4.054615000563702,4.025983287669762,3.606786985589323,3.5736922111288187,3.6575449030084264,3.60451199582272,3.8719370621905314,3.8233558849051055,3.681419687737594,3.3842797929966313,3.493548966314624
reference_52,4.196054477652664,3.7454722343115807,3.2734143602643013,4.156357790499455,3.7735310576286567,3.574807747741361,3.818960930129528,3.754870659320121,3.0958272478239,3.9137396941550913,2.9146554548728467,3.5572793371541933,3.594385515119791
reference_53,4.166377347944803,3.9827055944675234,3.1520667299985603,4.313178827153691,3.0468221629848378,3.8568693691802403,3.6263069770733773,3.415806149585442,4.1736038088158,4.1302013229918675,3.9714165214224413,3.700654557132208,3.686206291677369
reference_54,4.171919464313041,3.81343454784708,4.062667501066589,4.215953686579443,3.540596701291341,3.7695199826143866,3.834382265297699,3.8437433248515656,4.028848223498078,4.002450278670311,3.8953617267998455,3.6264706108344495,3.6204304571039203
reference_55,3.9282500933901012,3.7130847930828077,3.6803898790930725,4.082868623718555,3.3154559513984765,3.621202989645049,3.009046182620677,3.0957842361788677,3.8832919587225003,3.8891941025178807,3.696611090807464,3.4915708417669844,3.368222511690299
reference_56,3.989518603605935,3.6669075876322195,3.4704346060558753,4.125353102688691,3.609880593315649,3.5453581014110096,3.7003975989953797,3.589871161580494,3.8218322080605027,3.8215734992156505,3.6351182678806024,3.4700501549217897,3.416016806992324
reference_57,3.7434555244783563,3.687817159250737,3.1412203814445028,4.089652860099357,2.7476173797351207,3.6309286667735243,3.3826545050129413,3.329010255707296,3.885934638560907,3.8531241001978573,3.7088890875052933,3.4938480137264767,3.396450432738591
reference_58,3.6540347392360735,3.4077102577249163,2.859062020809192,3.673912866829804,2.836149419259876,2.950586542583323,3.1162879523384195,3.386791427416037,3.530787773010539,3.518115234185977,3.369345975644508,3.554907121619167,3.1255358424254127
reference_59,4.222444693391078,3.957843655743408,4.272763801260376,4.229205286034015,3.8722767800980704,3.7948354615432778,4.010462466786194,3.9018075348053376,3.945765179602172,4.053245778389776,3.8347939733047482,3.6909851043228996,3.678206484942627
reference_60,4.110219998270382,3.927452812575832,3.533545760188777,4.165118898331088,3.2765402355001885,3.530956839645501,3.262680294912273,2.86024964756876,4.086296360750235,3.9408638556357487,3.888300338026733,3.5750989863682032,3.5538298145641787
reference_61,3.9873703077068017,3.8047964333622315,3.2809828110855848,4.168338717373103,3.1059057289234913,3.482579195743193,3.0739487739357516,2.9974695834750014,3.9357718593989075,3.863902688670583,3.731235294334905,3.4267354411565702,3.432286897408656
reference_62,3.9737229662380167,3.7299360990710833,3.3023365318382525,4.138874383583846,3.145214417877564,3.5850845106123717,3.3423129406348875,2.9871854142202436,3.8375292381348522,3.835434393387887,3.6250901625445007,3.262710631274739,3.268830303131454
reference_63,3.7089339351037642,3.5583113270100117,3.7603010280670164,3.9011291382761772,3.400122231357128,3.3404051552326393,3.451062202253151,3.420016943224801,3.6411305837601664,3.5404204537330237,3.4148592265262603,3.0798708750443162,3.0383504079126835
reference_64,4.074058802982268,3.986811874594354,4.14743592440567,4.263475787156579,3.8480783587936584,3.8243988694022124,3.8838859273261073,3.861375506685451,4.062050038125818,3.8623548221060635,3.7645114688322545,3.7048275148027052,3.5529736423881055
reference_65,3.971049793581179,3.8515439342967985,3.985372758717918,4.134191657100204,3.827948254293804,3.7105507140158807,3.816421911201191,3.8437513646954953,3.9283333717173083,3.7900452589979365,3.715302657945585,3.660860961106486,3.3974604206846237
reference_66,3.9136697556513345,3.7563769787931443,3.8609632594379426,4.0952271240417755,3.685823765047252,3.622301864904484,3.691018631855774,3.6250686309990696,3.8820602950554637,3.707175863527882,3.587699985698938,3.4334336562973085,3.2774384347660064
