ref,citation_0,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,citation_7,citation_8,citation_9,citation_10,citation_11,citation_12,citation_13,citation_14,citation_15,citation_16,citation_17,citation_18,citation_19,citation_20,citation_21
reference_97,3.756200546636411,3.607779216068685,3.6023521278069985,3.257420674041039,3.4118562773509193,3.1267795046912434,3.2031415802847003,3.319441077973343,3.308258519596994,3.4502125486288175,3.680961508030532,3.2108616542839488,3.544366315340714,3.3467464500812065,3.0713639592475466,3.1834814722246665,3.170791549431201,2.890595283530734,3.298826834773445,4.335150024789793,3.218107884309583,3.2250402137694527
reference_98,3.774287242884085,3.4560545682473363,3.611775888598271,3.357038074617005,3.4500243289362076,3.5307619979387748,3.307809041669273,2.8978725057892807,3.308572766108371,3.309995532425392,3.691214251008511,3.199650899043312,3.5109433926866496,3.524352949992132,2.8319635008790507,3.2537394857005846,3.3886247353315615,3.152142205613675,3.3145169769382155,4.3215461293736475,3.3767721891073252,3.2730032463014385
reference_99,3.290142194402925,3.17818842445647,3.9521921997330467,3.8622224501862,3.8764824315911532,3.9807778841312165,3.7474353089602266,3.4045504713014734,3.815747516641913,3.908233221122218,3.92090130301307,3.8902236982616567,3.16155641731547,3.9240080692764057,3.9184509285860005,3.797319162353085,3.836152682700965,3.5815768390480787,3.7245257986524654,3.5718851256837607,3.8555399317690786,3.7929599963391367
reference_100,3.8907538213742665,3.6996889463052267,3.714527080285416,3.5132145035888676,3.6378811597204517,3.65593895270184,3.4059701917198186,3.412489842348683,3.492393247530207,3.5676950502442955,3.7837102000694274,3.533273213999608,3.722127765067142,3.638332415057182,3.5262622149856075,3.468264923055855,3.494461619335488,3.2535691602818386,3.5311868448287966,4.297609441428566,3.528517413654425,3.379599424960369
reference_101,3.957640434875062,3.829005985201026,3.844473485526459,3.3258436329539145,3.665612099455711,3.6384789177275456,3.467972545386473,3.5206546404938805,3.5599610614411676,3.5494913682636646,3.888072186902409,3.455534197451309,3.733096182786679,3.756849641746099,3.5369831270296275,3.439794402822313,3.1867981384978625,3.4071256108672943,3.529869128823352,4.522199244929487,3.421405219179869,3.406643291681727
reference_102,3.860537879439672,3.736101568732992,3.7127498811373525,3.4143969104930876,3.5840590181498935,3.532050762229648,3.395931500988722,3.46986464179126,3.4410310252865863,3.432857397138678,3.7167025522736545,3.3521088229678084,3.618004852090739,3.6147956219203947,3.424526192346333,3.3598331534888533,3.330410321129825,3.323281148264807,3.396317019195075,4.463477402499032,3.429656137436296,3.2486684912944823
reference_103,3.9842956219336925,3.881123940174428,3.7692258886425978,3.465279603820548,3.693812673840481,3.7439013237395975,3.495564612421782,3.7476047398205674,3.584693886478203,3.631665114016943,4.058516278538416,3.42923077084475,3.7975552451382524,3.780749627837973,3.6875584161233217,3.224868022352237,3.360704603373218,3.541144172372287,3.6759906012497594,4.515895289171726,3.2400911742762317,3.1527402942300133
reference_104,3.6972553483851645,3.5656588178723534,3.567016301796951,3.1317738568009976,3.3917362246481018,3.385154868891401,2.844397261509896,3.3212083947971465,3.222108125762428,3.237177704479417,3.6776067455234527,3.161853639406504,3.471443136034056,3.4721984098094936,2.9493461214502017,3.2104938258298503,3.197640025626062,3.0913121573965707,2.9149332511341792,4.302564968276024,3.2037755943271176,3.1193000922979794
reference_105,3.8059397364474443,3.665826801810864,3.678266806748173,3.292361717990041,3.5280420767377527,3.593869065323555,3.3970674422202,3.469203743451351,3.4372308622946086,3.542371049376229,3.713936914870223,3.3871542735779823,3.5590325146805992,3.613113213185317,3.5061442482771703,3.3896762215104577,3.2287973208052785,3.2968930729673263,3.4776002723791772,4.357983074243196,3.349451953495387,3.24912991949661
reference_106,3.58677461240993,3.455429552114655,3.508779335923468,2.9253524827736377,3.240300698001649,3.373679341538733,3.080239209844208,3.219770548605323,3.1146492114021895,3.2629129919266706,3.4642629859911915,3.056228292926788,3.318128540528941,3.099294380925751,3.2526725428099845,2.9077741145726517,2.9319131584127183,2.8928586980237108,3.230087528018231,4.206724169590474,3.044255839238264,2.984713382747137
reference_107,3.582489582408692,3.4086817035947012,3.396240239626051,3.117980569289494,3.228549628858215,3.4479950945757296,3.1490072015826707,3.196053483965993,3.1197591976638175,3.2831691874982214,3.4925208154857157,3.0085481746806324,3.308754521157692,3.1928313379772186,3.288538355945202,2.995845119549309,2.9655009847420595,2.9063231231675792,3.2421607510135972,4.187007961088419,2.919458165366556,3.061710649759648
reference_108,3.63581812736591,3.5242531924489975,3.4960018005011646,2.948004993826168,3.381247750711887,3.38134016787178,3.097614908018995,3.2680245991890384,3.261096786498114,3.365543650612746,3.5739972162702727,3.1549078159622903,3.4519740464072575,3.2046118180015055,3.3894053667525115,2.929277289857172,2.88064062220231,2.966481461281646,3.2918724490936637,4.169059127560138,3.042512872159019,3.0326571150400716
reference_109,3.538183178053078,3.388793431379705,3.3911087308069985,2.9776226083196717,3.182924247449083,3.3426119513551535,3.043273791802348,3.13264842872365,3.0214173225961916,3.1588084479704883,3.4628326302447188,2.893439881551676,3.2429749256592424,3.1534911241175845,3.176458802240355,2.8599392188593824,2.905915644920482,2.861699252788804,3.163255579633876,4.16753440463233,2.8142949951061698,2.913202172453034
reference_110,3.5353251150541007,3.3837934796031264,3.2933999640493914,3.051554774317566,3.1204410415623527,3.2883872870905675,3.011467486374972,3.1800333236817973,2.859880720698925,2.917634062748031,3.409240496787868,3.0700230590903317,3.2716667737310074,3.266559583596834,3.135323419203169,2.862436459369034,3.0442061941483,2.9247821303791226,3.121611842206306,4.14405157241866,3.0627173475089866,2.654073488463756
reference_111,3.4959866951968603,3.357290806833174,3.3699773084693776,2.8943541074498498,3.1636627942476503,3.273458902495323,2.9864921786194607,3.1129117070661616,3.045423622058465,3.1868257362095607,3.3327402507832016,3.0202654788542906,3.3129078344652996,2.883474676347825,3.2204289922823155,2.765943930320644,2.8316993401992128,2.794414163229499,3.150834877088811,4.04553965740007,2.9629776641894248,2.8269181479703698
reference_112,3.332225158248851,3.1370456831187816,3.0601563325630567,2.779132627996969,2.8911881109080912,3.0325095653797556,2.7994232425402643,2.9016125864624978,2.616171572963099,2.678194610487117,3.1397756297189,2.803888145795849,3.0405314157458436,3.0101815713562012,2.90053239639981,2.600847950917607,2.753655712397988,2.65083968266295,2.851814724181719,3.989701022815704,2.7859931057016865,2.368393673069241
reference_113,3.622107402406932,3.516377220979935,3.498926775395283,3.107397081161213,3.3963130392971985,3.4797506082236023,3.1746212814084296,3.3010335643086437,3.2242953899536384,3.3721370425116297,3.5387155158598422,3.2246001789889847,3.501467409703536,3.11343894995327,3.418807267518419,2.983873991595619,3.036559369512876,2.9991569337779875,3.3415124341592377,4.072132486291409,3.169182146743872,3.053925568340696
reference_114,3.5680319432118464,3.429698229974482,3.421398488483004,2.9101337468111517,3.218650515447601,3.328836116929056,3.0226702878542904,3.224298325895488,3.1130096761723904,3.192064206398881,3.4393327183580396,3.084642839939073,3.4056584694378316,3.0204566468370433,3.2644764195452862,2.8391223446670946,2.341197872218931,2.8677002129607767,3.23031862893028,4.131414182259035,3.03803480964482,2.8451432221936104
reference_115,4.121280110547213,3.953274575854985,3.9211788148855318,3.722669464176893,3.884817007421549,3.8715601184356907,3.658037046215344,3.756924299271464,3.7078057297989244,3.687451145083869,3.9841197356758116,3.6613523685961176,3.827759974826136,3.796660514709329,3.8194807962469293,3.128780947529062,3.5757066887459206,3.4945129682620992,3.7319891802584246,4.57801261259818,3.6576444564904707,3.1414850066709206
reference_116,3.6726893366177618,3.5202911755184996,3.5698338598636625,3.260345356690455,3.328893018386325,3.4107113470168646,3.104701300261689,3.267386602386975,3.1592064323733537,3.236276867339136,3.6266668206170087,3.213478993456628,3.4097702298774997,3.3676869577079773,3.311298355596977,2.644002463582698,3.16898191497174,3.1112386922183317,3.148914175505411,4.227699314729261,3.2146436915833014,2.7382838410455603
reference_117,3.793588322120069,3.577198301463314,3.5785340544074,2.9290822055258774,3.490225297281302,3.5160355133920076,3.315161370584317,3.33366430978765,3.322241746651187,3.371288126757294,3.707851057700807,3.0497409572709286,3.52674812786245,3.5287477786602652,3.0204146890329544,3.2688209947870117,2.96938213817703,3.237852516835284,3.197899708024633,4.333259999129997,2.9879648525148137,3.164875514378253
reference_118,3.641602886951718,3.491543308652577,3.4983794339006287,3.1050154935160528,3.4438462947624124,3.3945726713502986,3.227041007329788,3.3207672920098856,3.2900110719008286,3.3216208701423864,3.6918336203254976,3.1629244834255514,3.4442926453648868,3.509839137539623,3.3779867081417785,3.156676923290858,3.053200144750369,3.1724188963814766,3.327763252245149,4.251051139968471,3.030143427805737,3.0379932401086798
reference_119,3.7476030791936648,3.596647258359756,3.5575034028182815,3.296525663962279,3.417503307403782,3.476681803623105,3.288287402204115,3.357862621171444,3.3305072144712624,3.2931211545795076,3.7294839018626895,3.1249902990059817,3.5644471345797037,3.468733034510086,2.5913513544942415,3.2909888625794164,3.284169942410477,3.124845020261953,3.1786588838217527,4.326653027121518,3.2841196948013147,3.171040838313286
reference_120,4.010740906615447,3.9252489862331803,3.853650059172826,3.5794692487621305,3.799850976722352,3.6482655157645087,3.4911899604956154,3.616698741565228,3.7186028479636875,3.7518160880306515,3.985614809472561,3.6301237096525387,3.82968045601903,3.8545292736526964,3.311898443572773,3.5288140257129714,3.5327082522623634,3.4070422303106875,3.653622337495596,4.454855171677471,3.6510513902557387,3.4434067014940153
reference_121,3.6534806365882617,3.5020056076673516,3.48620636126759,2.880587786326599,3.340189803152707,3.4522236224522698,3.1686231757488246,3.3043576874899867,3.2093652485477895,3.3659248716492383,3.6290503491274837,2.9188239896268704,3.4490756936476656,3.307155726161957,3.3135454019877413,3.1010580648454034,2.7027559943701323,3.0182844087830936,3.2826408701502405,4.214584876724483,2.553298147035697,3.1046627289889894
reference_122,3.572216007759868,3.421443956881215,3.1860313485457086,2.7714863287061693,3.244850680697421,3.376519874192355,3.0786042547499184,3.216887677337319,3.0760147915231677,3.2187811363877508,3.4643467543230058,3.069459434799603,3.3371609220176564,3.0594772908406256,3.2892622350211838,2.894651787031986,2.786825740618986,2.922953786800904,3.227141423149011,4.127153257584929,2.9177413707245843,2.95667620760612
reference_123,3.69025830439276,3.4506459490385466,3.482943278281385,3.3438425050163287,3.3736393637056397,3.4501617783736926,3.184200078357842,3.2095975677340647,3.2462396536002385,3.1284377315564496,3.62089456018553,3.205575786595487,3.4065508015206727,3.422322304847767,3.318028376454669,3.2355438373337093,2.918388480653129,2.971261761866394,3.036481044064977,4.222108230622199,3.173948596501685,3.1809963732884077
reference_124,3.769071603688628,3.693482470308205,3.6640671382395076,3.5494838572711944,3.5679585629884127,3.5755166665308833,3.405261753222657,3.5355846491435767,3.511999296353367,3.473348131890318,3.637664849542379,3.5202215300794126,3.6337672568321757,2.8710915035562516,3.6083416868254825,3.4627868189956046,3.3986201725382283,3.396774263306891,3.282523338848662,4.261626824205876,3.529830782285072,3.1799271901661545
reference_125,3.761988600981279,3.474493009200208,3.5062985746022117,3.190450394453119,3.3459844144889885,3.4611036862641242,3.2294031480411807,3.044428805368451,3.2720226127293177,3.281746272602516,3.5875240587195396,3.2192749621931336,3.0477415217871697,3.498843400731805,3.257867196701306,3.265949443986139,3.284715113008427,3.1728796762928066,3.055566760048092,4.2605319076042765,3.2546178093167835,3.1674710131084702
